Prey PredNr PredLgt PreyLgt RelPreyLgt HandTime
Niloticu     17    25.2    1.51      5.992063492      62
Niloticu     17    25.2    1.59       6.30952381      70
Niloticu     17    25.2     2.6      10.31746032      47
Niloticu     17    25.2    2.14      8.492063492      64
Niloticu     17    25.2    2.85      11.30952381      48
Niloticu     17    25.2    1.65      6.547619048       7
Niloticu     17    25.2    1.94      7.698412698       9
Tanapela     18    25.1 4.08245      16.26474104     203
Tanapela     18    25.1 4.17454      16.63163347     190
Tanapela     18    25.1 3.80618      15.16406375     172
Tanapela     18    25.1     4.2      16.73306773     312
Tanapela     18    25.1     5.1       20.3187251     373
Tanapela     18    25.1     2.5      9.960159363       7
Tanapela     18    25.1     5.5       21.9123506     972
Tanapela     18    25.1    6.43      25.61752988    2767
Tanapela     19    25.4 4.45081      17.52287402     466
Tanapela     19    25.4 4.72708      18.61055118     368
Tanapela     19    25.4     4.5      17.71653543     366
Tanapela     19    25.4       3      11.81102362      12
Tanapela     19    25.4    5.69       22.4015748     700
Tanapela     20   26.09    3.15      12.07359141      46
Tanapela     20   26.09    2.59      9.927175163      17
Tanapela     20   26.09    1.97      7.550785742       6
Tanapela     20   26.09    2.42      9.275584515       7
Tanapela     20   26.09    2.15      8.240705251       5
Tanapela     21    23.9 4.63499       19.3932636     843
Tanapela     21    23.9     2.4        10.041841      13
Tanapela     21    23.9    5.93      24.81171548    3846
Tanapela     22      24    1.82      7.583333333       7
Tanapela     22      24    2.33      9.708333333       8
Tanapela     22      24     2.8      11.66666667      13
Tanapela     22      24    3.07      12.79166667      15
Tanapela     22      24    2.47      10.29166667      11
Tanapela     23    25.2 4.08245      16.20019841     152
Tanapela     23    25.2     2.3      9.126984127       5
Tanapela     23    25.2    2.89      11.46825397      16
Tanapela     23    25.2    2.14      8.492063492       8
Tanapela     23    25.2    3.02      11.98412698      21
Tanapela     23    25.2    3.57      14.16666667     125
Tanapela     23    25.2    2.68      10.63492063       8
Tanapela     23    25.2    3.47      13.76984127     123
Tanapela     23    25.2    2.62       10.3968254      14
